,geometry,name,opening_hours,shop,wheelchair,check_date,addr:city,addr:housenumber,addr:postcode,addr:street,operator,payment:cash,payment:credit_cards,payment:debit_cards,addr:country,source,toilets:wheelchair,brand,contact:facebook,contact:phone,contact:website,brand:wikidata,changing_table,toilets,building,website,amenity,cuisine,access,addr:place,addr:province,contact:email,dog,fee,internet_access,internet_access:fee,motorhome,organic,power_supply,power_supply:maxcurrent,reservation,sanitary_dump_station,socket:cee_blue,tents,tourism,brand:wikipedia,city,description,phone,email,check_date:opening_hours,payment:mastercard,payment:visa,branch,name:it,operator:wikidata,operator:wikipedia,alt_name,ref,ref:vatin,level,kids_area,toilets:access,toilets:number,smoking,ele,atm,air_conditioning,diet:halal,diet:kosher,name:signed,currency:EUR,addr:suburb,brand:en,brand:ja,name:en,name:ja,delivery:description:it,wikimedia_commons,contact:instagram,name:es,noname,entrance,opening_hours:signed,payment:cards,facebook,payment:coins,payment:bancomat,clothes,self_service,contact:mobile,addr:state,building:levels,old_name,fixme,start_date,note,roof:levels,roof:shape,building:material,addr:unit,stroller,not:brand:wikidata,fax,addr:hamlet,payment:diners_club,payment:maestro,payment:v_pay,payment:visa_electron,drive_through,building:part,indoor_seating,outdoor_seating,building:use,contact:fax,building:colour,diet:gluten_free,diet:non-vegetarian,diet:vegan,diet:vegetarian,roof:colour,type,roof:material,survey:date,fuel:GTL_diesel,fuel:diesel,fuel:octane_100,fuel:octane_95,ref:mise
248,"POLYGON ((12.1991047 45.4772922, 12.1991037 45.477263, 12.199124 45.4772623, 12.1991265 45.4772922, 12.1991047 45.4772922))",Eni Shop,,convenience,,,,,,,,,,,,,,Eni Shop,,,,Q565594,,,yes,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,"POLYGON ((12.319858 45.4372463, 12.3198859 45.4372253, 12.3198584 45.4372071, 12.3198304 45.4372282, 12.319858 45.4372463))",,,kiosk,,,,,,,,,,,,Bing,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,POINT (12.5692017 45.63849),Alì,"Mo-Fr 08:15-13:00,15:00-20:00; Sa 08:15-20:00",supermarket,yes,,San Donà di Piave,69,30027,Via Brusade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Donà di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,POINT (12.5400762 45.6521496),MaxCombo,Mo-Su 09:00-20:00,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Donà di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3696429,,,,,,,,,,,,,,,,,,,,,,,,,,
252,POINT (12.5968692 45.639589),Ipercoop,Mo-Sa 08:30-20:30; Su 09:00-20:00,supermarket,yes,,,,,,Coop Alleanza 3.0,,,,,,,Ipercoop,,,,Q6064990,,,,https://www.coopalleanza3-0.it/fare-spesa/elenco-negozi/dettaglio-negozio/106-ipercoop-centro-piave.html,,,,,,,,,,,,,,,,,,,,it:Coop Italia,"San Donà di Piave, Veneto, Italy",,+39 0421 226111,filo.diretto@alleanza3-0.coop.it,,,,,,Q21189584,it:Coop Alleanza 3.0,,,IT03503411203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,POINT (12.5909808 45.6397433),Coin Outlet,,department_store,yes,,San Donà di Piave,1,30027,Via Como,,,,,,,,Coin,,,,Q1107215,,,,,,,,,,,,,,,,,,,,,,,,,"San Donà di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,POINT (12.5931258 45.6399917),Eurospar,,supermarket,,,San Donà di Piave,14,30027,Via Como,,,,,,,,Eurospar,,,,Q12309283,,,,,,,,,,,,,,,,,,,,,,,,,"San Donà di Piave, Veneto, Italy",,+39 0421 482222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,POINT (12.5885339 45.6308088),Alì,Mo-Sa 08:15-20:00; Su 09:00-13:00,supermarket,,,San Donà di Piave,34,30027,Via Calnova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Donà di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,POINT (12.5594303 45.6372514),L'ortica,"Mo-Sa 08:30-13:00,16:00-20:00",supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only,,,,,,,,,"San Donà di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,POINT (12.5960667 45.641475),SME,"Sa 09:00-19:30; PH off; Mo-Fr 09:00-12:30,14:45-19:30; Su off",department_store,,,San Donà di Piave,2,30027,Via Iseo,SME S.p.a.,,,,,,,,,,,,,,,https://www.sme.it/,,,,,Venezia,,,,,,,,,,,,,,,,"San Donà di Piave, Veneto, Italy",,+39 0421 497111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,"POLYGON ((12.5716657 45.631966, 12.5717616 45.631969, 12.5719438 45.6319747, 12.5719626 45.6316823, 12.5719475 45.6316818, 12.571949 45.6316579, 12.5719506 45.6316333, 12.5718001 45.6316286, 12.5716876 45.6316251, 12.5716657 45.631966))",Prix,,supermarket,,,,,,,,,,,,,,Prix,,,,Q61994819,,,retail,,,,,,,,,,,,,,,,,,,,,,"San Donà di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,"POLYGON ((12.5599744 45.6357173, 12.5603643 45.6356501, 12.5602398 45.6352966, 12.5598498 45.6353637, 12.5598766 45.6354396, 12.559935 45.6356055, 12.5599443 45.6356317, 12.5599744 45.6357173))",Alí,Mo-Sa 08:15-20:00; Su 09:00-13:00,supermarket,,,,,,,,,,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,"San Donà di Piave, Veneto, Italy",,,,2024-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,"POLYGON ((12.5956902 45.6394327, 12.5956435 45.6393922, 12.5954351 45.6395203, 12.5954082 45.6395007, 12.5953475 45.6395355, 12.5953737 45.6395554, 12.5953538 45.6395659, 12.595408 45.6396097, 12.5953451 45.6396459, 12.5955961 45.6398517, 12.5958215 45.6397156, 12.5959223 45.6397954, 12.5962783 45.6400848, 12.5961121 45.6401885, 12.5963788 45.640413, 12.5962062 45.6405175, 12.5966023 45.6408412, 12.5969538 45.6406318, 12.5969079 45.6405908, 12.5970511 45.6405044, 12.5971812 45.640426, 12.5971954 45.6404175, 12.5972412 45.6404548, 12.597246 45.6404579, 12.5974605 45.6403383, 12.5974395 45.6403179, 12.5975782 45.6402549, 12.5978188 45.6401109, 12.5979648 45.6400044, 12.5979869 45.6400171, 12.5981887 45.6398946, 12.598136 45.6398544, 12.5982763 45.6397699, 12.5984318 45.6396789, 12.5984841 45.639721, 12.5988295 45.6395076, 12.598426 45.6391827, 12.5982529 45.6392874, 12.5979216 45.6390183, 12.5977213 45.6391447, 12.5973152 45.6388114, 12.5973783 45.6387769, 12.5972724 45.6386935, 12.5972495 45.638703, 12.5972102 45.6386775, 12.5971841 45.6386967, 12.5971504 45.6386758, 12.5969393 45.6388022, 12.5969058 45.6387792, 12.5966284 45.6389491, 12.5965225 45.6388708, 12.5960548 45.6391483, 12.5961015 45.6391905, 12.5956902 45.6394327))",Centro Piave,,mall,yes,2024-08-10,San Donà di Piave,1,30027,Via Iseo,,,,,,local knowledge,yes,,,,,,yes,yes,commercial,https://www.centropiave.com/,,,,,Venezia,,,,wlan,no,,,,,,,,,,,"San Donà di Piave, Veneto, Italy",,+39 0421 221670,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,Italia,1,,,,,0,,,,yes,,+39 0421 220455,,,,,,,,,,,,,,,,,,,,,,,,,
261,"POLYGON ((12.5893109 45.633581, 12.589303 45.6333779, 12.5885557 45.6333122, 12.5885835 45.6338838, 12.5893266 45.6338673, 12.5893162 45.6336558, 12.5893803 45.6336509, 12.5893727 45.6335838, 12.5893109 45.633581))",Cadoro,,supermarket,,,San Donà di Piave,1,30027,Via Ezio Vanoni,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,"San Donà di Piave, Veneto, Italy",,+39 0421 220200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verificare se man_made=works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,"POLYGON ((12.5873741 45.6389755, 12.5873975 45.6386576, 12.5870544 45.6386453, 12.5870254 45.6391154, 12.5871438 45.6391201, 12.5871407 45.639144, 12.5873985 45.6391495, 12.5874074 45.6389758, 12.5873741 45.6389755))",EuroSpin,,supermarket,,,San Donà di Piave,,30027,Via Matteo Vanzan,,,,,,,,EuroSpin,,,,Q1374674,,,supermarket,,,,,,,,,,,,,,,,,,,,,,"San Donà di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,"POLYGON ((12.541702 45.6522692, 12.5420313 45.6524446, 12.5425135 45.6519695, 12.5422352 45.651821, 12.5422247 45.6518033, 12.541702 45.6522692))",Lidl,Mo-Sa 08:00-20:30; Su 08:30-13:30,supermarket,yes,,,,,,,,,,,,,Lidl,,,,Q151954,,,retail,,,,,,,,,,,,,,,,,,,,,en:Lidl,"San Donà di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,many,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,"POLYGON ((12.5939646 45.6411371, 12.5940692 45.6412215, 12.594025 45.6412483, 12.5941975 45.6413875, 12.5935407 45.6417853, 12.5935175 45.6417995, 12.5934878 45.6418173, 12.5932131 45.6415922, 12.5939646 45.6411371))",Lidl,Mo-Sa 08:00-21:00; Su 08:30-20:30,supermarket,yes,,San Donà di Piave,28,30027,Via dei Laghi,,,,,,,,Lidl,,,,Q151954,,,supermarket,https://www.lidl.it/,,,,,,,,,,,,,,,,,,,,it:Lidl,"San Donà di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,"POLYGON ((12.549047 45.6481124, 12.5484622 45.6477576, 12.5483932 45.6478132, 12.548353 45.6477888, 12.5478752 45.6481738, 12.5485002 45.6485529, 12.549047 45.6481124))",Mega,Mo-Su 08:30-20:00,supermarket,,,,,,,,,,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,"San Donà di Piave, Veneto, Italy",,,,2024-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,"POLYGON ((12.5550051 45.639688, 12.5550868 45.6399048, 12.5558416 45.6397658, 12.5557598 45.6395489, 12.5550051 45.639688))",In's Mercato,"Mo-Sa 08:30-20:00; Su 09:00-13:30,15:30-20:00",supermarket,,,San Donà di Piave,112,30027,Via Vittorio Veneto,,,,,,,,In's Mercato,,,,Q105615834,,,yes,,,,,,,,,,,,,,,,,,,,,,"San Donà di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,"POLYGON ((12.5805301 45.6314166, 12.5805355 45.63125, 12.5806002 45.6312511, 12.5806072 45.631036, 12.5805488 45.631035, 12.5805516 45.6309516, 12.5805542 45.6308735, 12.5807816 45.6308772, 12.5807804 45.6309112, 12.5810355 45.6309154, 12.5810197 45.6313853, 12.5808066 45.6313818, 12.5806469 45.6313792, 12.5806456 45.6314185, 12.5805301 45.6314166))",ALDI,,supermarket,,,San Donà di Piave,89,30027,Via Carlo Vizzotto,,,,,,,,ALDI,,,,Q41171672,,,commercial,,,,,,,,,,,,,,,,,,,,,,"San Donà di Piave, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,POINT (12.1210205 45.3148605),Azienda Agricola Polato - Macellazione e Spaccio Carni,,farm,,,,75,30010,Via San Marco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Campagna Lupia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,POINT (12.0951259 45.3548807),Ortofrutta all'angolo,,farm,,,Campagna Lupia,139,30010,Via della Repubblica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Campagna Lupia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,POINT (12.089847 45.3473627),famila,,supermarket,,,Campagna Lupia,,30010,Via Roma,,,,,,,,famila,,,,Q1395108,,,,,,,,,,,,,,,,,,,,,,,,,"Campagna Lupia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,POINT (12.1120769 45.3413297),Agriturismo Alla Vaccheria,,farm,,,Campagna Lupia,3,30010,Via Gabriele D'Annunzio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Campagna Lupia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,POINT (12.0993792 45.3524991),L'angolo del Gusto,,convenience,,,,,,,Chinellato Ketty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Campagna Lupia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,POINT (12.0959936 45.3547803),Al Bazar,,general,,,Campagna Lupia,3,30010,Via Papa Giovanni XXIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Campagna Lupia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,"POLYGON ((12.0899268 45.3475577, 12.0905198 45.3471427, 12.0901625 45.3468959, 12.0902562 45.3468329, 12.0899362 45.3466044, 12.089357 45.3470121, 12.0894751 45.3470971, 12.0895975 45.3471796, 12.0895298 45.347221, 12.0894864 45.3472519, 12.0897491 45.3474343, 12.0899268 45.3475577))",,,mall,,,,,,,,,,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,"Campagna Lupia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,"POLYGON ((12.0917474 45.3540682, 12.092108 45.3540277, 12.0920861 45.3539277, 12.0920243 45.3538388, 12.0917079 45.3538745, 12.0917172 45.3539201, 12.0917428 45.3540456, 12.0917474 45.3540682))",Prix,Mo-Sa 08:30-20:30; Su 09:00-13:00,supermarket,yes,,,,,,,,,,,,,Prix,,,,Q61994819,,,retail,https://www.prixquality.com/punti-vendita/campagna-lupia-572/,,,,,,,,,,,,,,,,,,,,,"Campagna Lupia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,POINT (12.0638 45.441241),Horeca Brenta,,supermarket,,,Dolo,2,30031,Via Primo Maggio,,,,,,,,,,,,,,,,https://horecabrenta.it/,,,,,,,,,,,,,,,,,,,,,"Dolo, Veneto, Italy",,+39 041 5102386;+39 041 5134993,info@horecabrenta.it,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attivazione servizio a domicilio di generi di prima necessità per COVID-19,,,,,,,,https://www.facebook.com/horecabrenta/,,,,,,,,,,,,,,,,,,+39 041 411923,,,,,,,,,,,,,,,,,,,,,,,,,
277,POINT (12.0489474 45.438591),Prix,,supermarket,,,Arino,2,30031,Via Chiesa,Prix Quality,,,,,,,Prix,,,,Q61994819,,,,,,,,,,,,,,,,,,,,,,,,,"Dolo, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,POINT (12.0784028 45.4214847),EUROSPESA,Mo-Sa 08:00-20:00,supermarket,yes,,,21,,Via del Vaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dolo, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,POINT (12.0736757 45.4295991),In's Mercato,,supermarket,,,,,,,,,,,,,,In's Mercato,,,,Q105615834,,,,,,,,,,,,,,,,,,,,,,,,,"Dolo, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,"POLYGON ((12.075188 45.4291614, 12.0751683 45.4291615, 12.0746888 45.4291678, 12.0746925 45.4293078, 12.0747794 45.4293067, 12.0748033 45.4293077, 12.0748025 45.4292506, 12.0751874 45.4292482, 12.075188 45.4291614))",Alì,,supermarket,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,"Dolo, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,POINT (12.6223216 45.4979011),,,kiosk,,,Jesolo,542,30016,Via Andrea Bafile,,,,,IT,,,,,,,,,,,,,,,,Venezia,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lido di Jesolo,,,,,,,,,,,,,,,,,,,,,,,,
282,POINT (12.6215278 45.4981589),Macelleria Rosticceria,,convenience,,,Jesolo,18,30016,Largo Augustus,,,,,IT,,,,,,,,,,,,,,,,Venezia,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lido di Jesolo,,,,,,,,,,,,,,,,,,,,,,,,
283,POINT (12.6216243 45.497187),Supermercato Montagner Sas,,supermarket,,,Jesolo,10,30016,Largo Centro Commerciale,,,,,IT,,,,,,,,,,,,,,,,Venezia,,,,,,,,,,,,,,,,"Jesolo, Veneto, Italy",,+39 0421 370169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lido di Jesolo,,,,,,,,,,,,,,,,,,,,,,,,
